city,city_code,state,state_code,region,region_code,flag_geography
Berry,berry,Alabama,2,"Birmingham, AL",630,0
Bessemer,bessemer,Alabama,2,"Birmingham, AL",630,0
Birmingham,birmingham,Alabama,2,"Birmingham, AL",630,0
Blountsville,blountsville,Alabama,2,"Birmingham, AL",630,0
Boaz,boaz,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Bremen,bremen,Alabama,2,"Birmingham, AL",630,0
Brewton,brewton,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Brookwood,brookwood,Alabama,2,"Birmingham, AL",630,0
Brownsboro,brownsboro,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Bucks,bucks,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Buhl,buhl,Alabama,2,"Birmingham, AL",630,0
Butler,butler,Alabama,2,"Meridian, MS",711,0
Calera,calera,Alabama,2,"Birmingham, AL",630,0
Camden,camden,Alabama,2,"Montgomery (Selma), AL",698,0
Carrollton,carrollton,Alabama,2,"Birmingham, AL",630,0
Centre,centre,Alabama,2,"Birmingham, AL",630,0
Centreville,centreville,Alabama,2,"Birmingham, AL",630,0
Chapman,chapman,Alabama,2,"Montgomery (Selma), AL",698,0
Chelsea,chelsea,Alabama,2,"Birmingham, AL",630,0
Cherokee,cherokee,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Childersburg,childersburg,Alabama,2,"Birmingham, AL",630,0
Clanton,clanton,Alabama,2,"Birmingham, AL",630,0
Clayton,clayton,Alabama,2,"Columbus, GA",522,0
Clio,clio,Alabama,2,"Columbus, GA",522,0
Coffeeville,coffeeville,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Columbia,columbia,Alabama,2,"Dothan, AL",606,0
Columbiana,columbiana,Alabama,2,"Birmingham, AL",630,0
Cottondale,cottondale,Alabama,2,"Birmingham, AL",630,0
Cottonwood,cottonwood,Alabama,2,"Dothan, AL",606,0
Cowarts,cowarts,Alabama,2,"Dothan, AL",606,0
Creola,creola,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Crossville,crossville,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Cullman,cullman,Alabama,2,"Birmingham, AL",630,0
Daleville,daleville,Alabama,2,"Dothan, AL",606,0
Daphne,daphne,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Dauphin Island,dauphin island,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Deatsville,deatsville,Alabama,2,"Montgomery (Selma), AL",698,0
Decatur,decatur,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Demopolis,demopolis,Alabama,2,"Montgomery (Selma), AL",698,0
Dixons Mills,dixons mills,Alabama,2,"Montgomery (Selma), AL",698,0
Dothan,dothan,Alabama,2,"Dothan, AL",606,0
Eastaboga,eastaboga,Alabama,2,"Birmingham, AL",630,0
Eclectic,eclectic,Alabama,2,"Montgomery (Selma), AL",698,0
Eight Mile,eight mile,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Elba,elba,Alabama,2,"Dothan, AL",606,0
Elberta,elberta,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Enterprise,enterprise,Alabama,2,"Dothan, AL",606,0
Eufaula,eufaula,Alabama,2,"Columbus, GA",522,0
Eutaw,eutaw,Alabama,2,"Birmingham, AL",630,0
Evergreen,evergreen,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Excel,excel,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Fairfield,fairfield,Alabama,2,"Birmingham, AL",630,0
Fairhope,fairhope,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Fayette,fayette,Alabama,2,"Birmingham, AL",630,0
Florence,florence,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Foley,foley,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Fruitdale,fruitdale,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Fort Deposit,fort deposit,Alabama,2,"Montgomery (Selma), AL",698,0
Fort Payne,fort payne,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Fort Rucker,fort rucker,Alabama,2,"Dothan, AL",606,0
Fulton,fulton,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Fultondale,fultondale,Alabama,2,"Birmingham, AL",630,0
Gadsden,gadsden,Alabama,2,"Birmingham, AL",630,0
Gardendale,gardendale,Alabama,2,"Birmingham, AL",630,0
Geneva,geneva,Alabama,2,"Dothan, AL",606,0
Glenwood,glenwood,Alabama,2,"Montgomery (Selma), AL",698,0
Goodwater,goodwater,Alabama,2,"Birmingham, AL",630,0
Gordo,gordo,Alabama,2,"Birmingham, AL",630,0
Grand Bay,grand bay,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Graysville,graysville,Alabama,2,"Birmingham, AL",630,0
Greensboro,greensboro,Alabama,2,"Birmingham, AL",630,0
Greenville,greenville,Alabama,2,"Montgomery (Selma), AL",698,0
Grove Hill,grove hill,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Guin,guin,Alabama,2,"Birmingham, AL",630,0
Gulf Shores,gulf shores,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Guntersville,guntersville,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Haleyville,haleyville,Alabama,2,"Birmingham, AL",630,0
Hamilton,hamilton,Alabama,2,"Birmingham, AL",630,0
Hanceville,hanceville,Alabama,2,"Birmingham, AL",630,0
Hartselle,hartselle,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Hatchechubbee,hatchechubbee,Alabama,2,"Columbus, GA",522,0
Hayden,hayden,Alabama,2,"Birmingham, AL",630,0
Hayneville,hayneville,Alabama,2,"Montgomery (Selma), AL",698,0
Hazel Green,hazel green,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Headland,headland,Alabama,2,"Dothan, AL",606,0
Heflin,heflin,Alabama,2,"Atlanta, GA",524,0
Helena,helena,Alabama,2,"Birmingham, AL",630,0
Hodges,hodges,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Hope Hull,hope hull,Alabama,2,"Montgomery (Selma), AL",698,0
Huntsville,huntsville,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Huxford,huxford,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Ider,ider,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Jack,jack,Alabama,2,"Dothan, AL",606,0
Jackson,jackson,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Jacksonville,jacksonville,Alabama,2,"Birmingham, AL",630,0
Jasper,jasper,Alabama,2,"Birmingham, AL",630,0
Jefferson,jefferson,Alabama,2,"Montgomery (Selma), AL",698,0
Kellyton,kellyton,Alabama,2,"Birmingham, AL",630,0
Killen,killen,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Laceys Spring,laceys spring,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
La Fayette,la fayette,Alabama,2,"Columbus, GA",522,0
Lanett,lanett,Alabama,2,"Columbus, GA",522,0
Leeds,leeds,Alabama,2,"Birmingham, AL",630,0
Leesburg,leesburg,Alabama,2,"Birmingham, AL",630,0
Lillian,lillian,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Lincoln,lincoln,Alabama,2,"Birmingham, AL",630,0
Linden,linden,Alabama,2,"Montgomery (Selma), AL",698,0
Lineville,lineville,Alabama,2,"Birmingham, AL",630,0
Livingston,livingston,Alabama,2,"Meridian, MS",711,0
Loachapoka,loachapoka,Alabama,2,"Columbus, GA",522,0
Locust Fork,locust fork,Alabama,2,"Birmingham, AL",630,0
Loxley,loxley,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Luverne,luverne,Alabama,2,"Montgomery (Selma), AL",698,0
Madison,madison,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Marion,marion,Alabama,2,"Montgomery (Selma), AL",698,0
Mathews,mathews,Alabama,2,"Montgomery (Selma), AL",698,0
Millport,millport,Alabama,2,"Columbus-Tupelo-West Point, MS",673,0
Millry,millry,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Mobile,mobile,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Monroeville,monroeville,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Montevallo,montevallo,Alabama,2,"Birmingham, AL",630,0
Montgomery,montgomery,Alabama,2,"Montgomery (Selma), AL",698,0
Montrose,montrose,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Morris,morris,Alabama,2,"Birmingham, AL",630,0
Moulton,moulton,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Munford,munford,Alabama,2,"Birmingham, AL",630,0
Muscle Shoals,muscle shoals,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
New Brockton,new brockton,Alabama,2,"Dothan, AL",606,0
New Market,new market,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Newton,newton,Alabama,2,"Dothan, AL",606,0
Newville,newville,Alabama,2,"Dothan, AL",606,0
Normal,normal,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Northport,northport,Alabama,2,"Birmingham, AL",630,0
Notasulga,notasulga,Alabama,2,"Montgomery (Selma), AL",698,0
Oakman,oakman,Alabama,2,"Birmingham, AL",630,0
Oneonta,oneonta,Alabama,2,"Birmingham, AL",630,0
Opelika,opelika,Alabama,2,"Columbus, GA",522,0
Opp,opp,Alabama,2,"Montgomery (Selma), AL",698,0
Orange Beach,orange beach,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Oxford,oxford,Alabama,2,"Birmingham, AL",630,0
Ozark,ozark,Alabama,2,"Dothan, AL",606,0
Paint Rock,paint rock,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Pelham,pelham,Alabama,2,"Birmingham, AL",630,0
Pell City,pell city,Alabama,2,"Birmingham, AL",630,0
Pennington,pennington,Alabama,2,"Meridian, MS",711,0
Perdue Hill,perdue hill,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Phenix City,phenix city,Alabama,2,"Columbus, GA",522,0
Piedmont,piedmont,Alabama,2,"Birmingham, AL",630,0
Pike Road,pike road,Alabama,2,"Montgomery (Selma), AL",698,0
Pine Hill,pine hill,Alabama,2,"Montgomery (Selma), AL",698,0
Pinson,pinson,Alabama,2,"Birmingham, AL",630,0
Pleasant Grove,pleasant grove,Alabama,2,"Birmingham, AL",630,0
Prattville,prattville,Alabama,2,"Montgomery (Selma), AL",698,0
Quinton,quinton,Alabama,2,"Birmingham, AL",630,0
Ragland,ragland,Alabama,2,"Birmingham, AL",630,0
Rainbow City,rainbow city,Alabama,2,"Birmingham, AL",630,0
Rainsville,rainsville,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Ramer,ramer,Alabama,2,"Montgomery (Selma), AL",698,0
Red Bay,red bay,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Reform,reform,Alabama,2,"Birmingham, AL",630,0
Roanoke,roanoke,Alabama,2,"Atlanta, GA",524,0
Robertsdale,robertsdale,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Russellville,russellville,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Rutledge,rutledge,Alabama,2,"Montgomery (Selma), AL",698,0
Saginaw,saginaw,Alabama,2,"Birmingham, AL",630,0
Saraland,saraland,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Scottsboro,scottsboro,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Selma,selma,Alabama,2,"Montgomery (Selma), AL",698,0
Semmes,semmes,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Shannon,shannon,Alabama,2,"Birmingham, AL",630,0
Sheffield,sheffield,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Shelby,shelby,Alabama,2,"Birmingham, AL",630,0
Spanish Fort,spanish fort,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Springville,springville,Alabama,2,"Birmingham, AL",630,0
Sulligent,sulligent,Alabama,2,"Columbus-Tupelo-West Point, MS",673,0
Sumiton,sumiton,Alabama,2,"Birmingham, AL",630,0
Summerdale,summerdale,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Sycamore,sycamore,Alabama,2,"Birmingham, AL",630,0
Sylacauga,sylacauga,Alabama,2,"Birmingham, AL",630,0
Talladega,talladega,Alabama,2,"Birmingham, AL",630,0
Tallassee,tallassee,Alabama,2,"Montgomery (Selma), AL",698,0
Theodore,theodore,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Thomasville,thomasville,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Toney,toney,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Troy,troy,Alabama,2,"Montgomery (Selma), AL",698,0
Trussville,trussville,Alabama,2,"Birmingham, AL",630,0
Tuscaloosa,tuscaloosa,Alabama,2,"Birmingham, AL",630,0
Tuscumbia,tuscumbia,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Tuskegee,tuskegee,Alabama,2,"Montgomery (Selma), AL",698,0
Union Springs,union springs,Alabama,2,"Montgomery (Selma), AL",698,0
Valley,valley,Alabama,2,"Columbus, GA",522,0
Vernon,vernon,Alabama,2,"Columbus-Tupelo-West Point, MS",673,0
Vinemont,vinemont,Alabama,2,"Birmingham, AL",630,0
Wadley,wadley,Alabama,2,"Atlanta, GA",524,0
Walnut Grove,walnut grove,Alabama,2,"Birmingham, AL",630,0
Warrior,warrior,Alabama,2,"Birmingham, AL",630,0
Webb,webb,Alabama,2,"Dothan, AL",606,0
Wedowee,wedowee,Alabama,2,"Atlanta, GA",524,0
Wetumpka,wetumpka,Alabama,2,"Montgomery (Selma), AL",698,0
Winfield,winfield,Alabama,2,"Birmingham, AL",630,0
York,york,Alabama,2,"Meridian, MS",711,0
Ardmore,ardmore,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Blue Ridge,blue ridge,Alabama,2,"Montgomery (Selma), AL",698,0
Chatom,chatom,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Dadeville,dadeville,Alabama,2,"Montgomery (Selma), AL",698,0
Florala,florala,Alabama,2,"Montgomery (Selma), AL",698,0
Forestdale,forestdale,Alabama,2,"Birmingham, AL",630,0
Grant,grant,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Harvest,harvest,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Henagar,henagar,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Homewood,homewood,Alabama,2,"Birmingham, AL",630,0
Hoover,hoover,Alabama,2,"Birmingham, AL",630,0
Hueytown,hueytown,Alabama,2,"Birmingham, AL",630,0
Irondale,irondale,Alabama,2,"Birmingham, AL",630,0
Millbrook,millbrook,Alabama,2,"Montgomery (Selma), AL",698,0
Moody,moody,Alabama,2,"Birmingham, AL",630,0
Mountain Brook,mountain brook,Alabama,2,"Birmingham, AL",630,0
New Hope,new hope,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Redstone Arsenal,redstone arsenal,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Smiths Station,smiths station,Alabama,2,"Columbus, GA",522,0
Tarrant,tarrant,Alabama,2,"Birmingham, AL",630,0
Tillmans Corner,tillmans corner,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Vestavia Hills,vestavia hills,Alabama,2,"Birmingham, AL",630,0
Adona,adona,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Alexander,alexander,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Alma,alma,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Altheimer,altheimer,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Amity,amity,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Arkadelphia,arkadelphia,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Armorel,armorel,Arkansas,3,"Memphis, TN",640,0
Ash Flat,ash flat,Arkansas,3,"Jonesboro, AR",734,0
Ashdown,ashdown,Arkansas,3,"Shreveport, LA",612,0
Augusta,augusta,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Bald Knob,bald knob,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Barling,barling,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Batesville,batesville,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Bauxite,bauxite,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Bay,bay,Arkansas,3,"Jonesboro, AR",734,0
Beebe,beebe,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Bella Vista,bella vista,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Benton,benton,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Bentonville,bentonville,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Berryville,berryville,Arkansas,3,"Springfield, MO",619,0
Bigelow,bigelow,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Blytheville,blytheville,Arkansas,3,"Memphis, TN",640,0
Booneville,booneville,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Bradford,bradford,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Branch,branch,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Brinkley,brinkley,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Brockwell,brockwell,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Brookland,brookland,Arkansas,3,"Jonesboro, AR",734,0
Bryant,bryant,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Burdette,burdette,Arkansas,3,"Memphis, TN",640,0
Cabot,cabot,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Calico Rock,calico rock,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Camden,camden,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Carlisle,carlisle,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Carthage,carthage,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Cave City,cave city,Arkansas,3,"Jonesboro, AR",734,0
Center Ridge,center ridge,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Charleston,charleston,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Charlotte,charlotte,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Cherokee Village,cherokee village,Arkansas,3,"Jonesboro, AR",734,0
Clarendon,clarendon,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Clarksville,clarksville,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Clinton,clinton,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Compton,compton,Arkansas,3,"Springfield, MO",619,0
Conway,conway,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Corning,corning,Arkansas,3,"Jonesboro, AR",734,0
Crossett,crossett,Arkansas,3,"Monroe, LA-El Dorado, AR",628,0
Danville,danville,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Dardanelle,dardanelle,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
De Queen,de queen,Arkansas,3,"Shreveport, LA",612,0
DeWitt,dewitt,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Decatur,decatur,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Dermott,dermott,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Des Arc,des arc,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Dumas,dumas,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Dyess,dyess,Arkansas,3,"Memphis, TN",640,0
El Dorado,el dorado,Arkansas,3,"Monroe, LA-El Dorado, AR",628,0
Elm Springs,elm springs,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
England,england,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Enola,enola,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Eureka Springs,eureka springs,Arkansas,3,"Springfield, MO",619,0
Fairfield Bay,fairfield bay,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Farmington,farmington,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Fayetteville,fayetteville,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Flippin,flippin,Arkansas,3,"Springfield, MO",619,0
Floral,floral,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Fordyce,fordyce,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Forrest City,forrest city,Arkansas,3,"Memphis, TN",640,0
Fountain Hill,fountain hill,Arkansas,3,"Monroe, LA-El Dorado, AR",628,0
Friendship,friendship,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Fort Smith,fort smith,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Gassville,gassville,Arkansas,3,"Springfield, MO",619,0
Gentry,gentry,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Gillham,gillham,Arkansas,3,"Shreveport, LA",612,0
Glenwood,glenwood,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Gould,gould,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Grady,grady,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Gravette,gravette,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Greenbrier,greenbrier,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Greenwood,greenwood,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Guion,guion,Arkansas,3,"Little Rock-Pine Bluff, AR",693,0
Hackett,hackett,Arkansas,3,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670,0
Hamburg,hamburg,Arkansas,3,"Monroe, LA-El Dorado, AR",628,0
Hardy,hardy,Arkansas,3,"Jonesboro, AR",734,0
